employee_id,first_name,last_name,full_name,email,city,department_id
2351,Robert,Arana,Robert Arana,Roberta@gmail.com,New Dan,3
3551,Patricia,Lewis,Patricia Lewis,Patricial@gmail.com,South Coreytown,2
3079,Sandra,Mayberry,Sandra Mayberry,Sandram@gmail.com,Donaldburgh,2
1859,Ryan,Heier,Ryan Heier,Ryanh@gmail.com,Danahaven,0
2825,John,Johnson,John Johnson,Johnj@gmail.com,Crystalchester,1
1730,Christopher,Aldrich,Christopher Aldrich,Christophera@gmail.com,Jeffreymouth,0
1911,Winford,Cave,Winford Cave,Winfordc@gmail.com,Elizabethfurt,3
1891,Brandi,Foy,Brandi Foy,Brandif@gmail.com,Brittneystad,3
3840,Mark,Galloway,Mark Galloway,Markg@gmail.com,Coreychester,1
3392,Marie,Oubre,Marie Oubre,Marieo@gmail.com,Jenniferfurt,0
2331,Sandra,Sedrakyan,Sandra Sedrakyan,Sandras@gmail.com,Louismouth,3
3197,Michael,Santa,Michael Santa,Michaels@gmail.com,East Tamara,0
467,Claudia,Gilmore,Claudia Gilmore,Claudiag@gmail.com,Whiteview,1
1183,Justin,George,Justin George,Justing@gmail.com,North Amanda,1
1853,Cynthia,Simmons,Cynthia Simmons,Cynthias@gmail.com,Moorechester,0
1329,Richard,Nolan,Richard Nolan,Richardn@gmail.com,Brandonton,2
2934,Chris,Vidinha,Chris Vidinha,Chrisv@gmail.com,East Robin,1
3475,Harry,Garcia,Harry Garcia,Harryg@gmail.com,Alfredbury,0
2731,Ernest,Johnson,Ernest Johnson,Ernestj@gmail.com,Griffithton,1
1509,Sherry,Ramirez,Sherry Ramirez,Sherryr@gmail.com,Moralesland,0
3331,Kathy,Mccartt,Kathy Mccartt,Kathym@gmail.com,West Dennis,0
2168,Eva,Brown,Eva Brown,Evab@gmail.com,New Jamesshire,0
608,Effie,Wyble,Effie Wyble,Effiew@gmail.com,Kristinburgh,2
3972,Jeanette,Sturkie,Jeanette Sturkie,Jeanettes@gmail.com,Port Angelicaton,1
1648,Joseph,Gonzalez,Joseph Gonzalez,Josephg@gmail.com,South Michael,0
2042,Peggy,Erickson,Peggy Erickson,Peggye@gmail.com,New Timothy,0
3978,Gail,Woods,Gail Woods,Gailw@gmail.com,Simmonsberg,2
2280,Fidel,Wright,Fidel Wright,Fidelw@gmail.com,North Matthewport,2
3923,Ruby,Martin,Ruby Martin,Rubym@gmail.com,North Daniel,2
1627,Jessie,Allen,Jessie Allen,Jessiea@gmail.com,Reneefurt,1
87,Deanna,Dumas,Deanna Dumas,Deannad@gmail.com,Port Brandy,2
2050,Jacqueline,Flanagan,Jacqueline Flanagan,Jacquelinef@gmail.com,North Noah,2
3126,Dominic,Ratcliff,Dominic Ratcliff,Dominicr@gmail.com,Millerton,2
1709,Mollie,Barrios,Mollie Barrios,Mollieb@gmail.com,East Michaelaton,1
789,Sonia,Taylor,Sonia Taylor,Soniat@gmail.com,Port Erica,2
841,James,Thrash,James Thrash,Jamest@gmail.com,Michaelmouth,1
1568,Virgil,Saito,Virgil Saito,Virgils@gmail.com,West Katherinefort,0
3742,Kenneth,Pea,Kenneth Pea,Kennethp@gmail.com,Popeland,1
2641,William,Kent,William Kent,Williamk@gmail.com,Eatonstad,1
1283,Anna,Gordon,Anna Gordon,Annag@gmail.com,Jennifershire,1
365,Courtney,Beck,Courtney Beck,Courtneyb@gmail.com,Rhondaside,0
3802,Beatrice,Baker,Beatrice Baker,Beatriceb@gmail.com,Jasmineville,0
2992,Anthony,Baker,Anthony Baker,Anthonyb@gmail.com,Port Katiefort,0
2697,Dixie,Gaunt,Dixie Gaunt,Dixieg@gmail.com,South Scottborough,3
3688,Shari,Pena,Shari Pena,Sharip@gmail.com,Zacharyburgh,0
472,Beverley,Teel,Beverley Teel,Beverleyt@gmail.com,South Ianton,1
1622,James,Walters,James Walters,Jamesw@gmail.com,Marialand,0
1783,Charles,Scaggs,Charles Scaggs,Charless@gmail.com,South Christian,3
2525,William,Gonzalez,William Gonzalez,Williamg@gmail.com,Port Ambermouth,2
1064,Joe,Hayward,Joe Hayward,Joeh@gmail.com,New Danielville,1
2317,Joyce,Gonzalez,Joyce Gonzalez,Joyceg@gmail.com,New Brenda,3
2640,Mayra,Brown,Mayra Brown,Mayrab@gmail.com,Lake Edwardland,2
572,Julie,Terwilliger,Julie Terwilliger,Juliet@gmail.com,Port Kelly,1
2884,Maria,Sause,Maria Sause,Marias@gmail.com,Lake Danielle,3
2192,Ernest,Baumgarter,Ernest Baumgarter,Ernestb@gmail.com,Michaelbury,2
1943,Ma,Ingber,Ma Ingber,Mai@gmail.com,Bowmanhaven,2
15,Yvonne,Miller,Yvonne Miller,Yvonnem@gmail.com,East Kristenland,2
587,William,Bowen,William Bowen,Williamb@gmail.com,Claytonshire,3
3249,Joseph,Karol,Joseph Karol,Josephk@gmail.com,South Jamestown,0
355,Caroline,Moneypenny,Caroline Moneypenny,Carolinem@gmail.com,Joyceview,3
2499,Brandy,Desbiens,Brandy Desbiens,Brandyd@gmail.com,North Charlesside,0
3817,Aaron,Kaufman,Aaron Kaufman,Aaronk@gmail.com,South Eric,1
2308,Eileen,Grayson,Eileen Grayson,Eileeng@gmail.com,Burchtown,2
2745,Joe,Burbach,Joe Burbach,Joeb@gmail.com,North Williambury,1
3888,Quinton,Thomas,Quinton Thomas,Quintont@gmail.com,Annachester,2
462,Robert,Martin,Robert Martin,Robertm@gmail.com,Alexisshire,0
1112,Joseph,Stack,Joseph Stack,Josephs@gmail.com,Ronniestad,2
727,James,Perkins,James Perkins,Jamesp@gmail.com,Port Samantha,3
2936,Alan,Ward,Alan Ward,Alanw@gmail.com,Mayshire,0
1259,Terry,Gomez,Terry Gomez,Terryg@gmail.com,Samanthaborough,3
